measure,quantile,time,sex,age,ethnic,value
Lx,97.50%,2017-19,Male,1 years,Total,99539
dx,2.50%,2017-19,Female,68 years,nonMaori,680
mx,2.50%,2017-19,Female,78 years,Total,0.02684
lx,2.50%,2017-19,Female,73 years,Maori,67695
dx,97.50%,2017-19,Female,29 years,Asian,22
qx,2.50%,2017-19,Male,23 years,Asian,2.20E-04
qx,97.50%,2017-19,Female,38 years,Total,7.50E-04
lx,97.50%,2017-19,Female,30 years,Total,98944
Lx,97.50%,2017-19,Male,26 years,European or Other,98933
ex,97.50%,2017-19,Female,6 years,Asian,82.62
px,50%,2017-19,Male,16 years,nonMaori,0.99967
lx,97.50%,2017-19,Female,54 years,Total,96370
ex,2.50%,2017-19,Male,55 years,Asian,31.19
Lx,97.50%,2017-19,Female,20 years,Total,99296
Lx,2.50%,2017-19,Female,18 years,nonMaori,99345
ex,50%,2017-19,Male,35 years,European or Other,47.09
lx,50%,2017-19,Male,81 years,Total,58903
Lx,2.50%,2017-19,Male,18 years,Maori,98657
dx,2.50%,2017-19,Female,26 years,Total,33
px,50%,2017-19,Male,88 years,Asian,0.90709
px,97.50%,2017-19,Female,48 years,Maori,0.99695
qx,50%,2017-19,Female,23 years,Maori,7.60E-04
qx,2.50%,2017-19,Male,43 years,European or Other,0.00117
Lx,97.50%,2017-19,Male,2 years,Pacific,99425
qx,97.50%,2017-19,Male,69 years,Asian,0.00973
Lx,2.50%,2017-19,Male,22 years,Asian,99117
lx,50%,2017-19,Female,50 years,European or Other,97768
ex,97.50%,2017-19,Male,63 years,Maori,17.38
ex,50%,2017-19,Female,41 years,nonMaori,44.31
lx,50%,2017-19,Male,40 years,European or Other,97734
px,50%,2017-19,Female,25 years,Asian,0.99983
mx,97.50%,2017-19,Female,51 years,European or Other,0.00186
dx,50%,2017-19,Female,19 years,Asian,14
ex,50%,2017-19,Male,99 years,Pacific,2.28
lx,50%,2017-19,Male,40 years,Total,97293
qx,2.50%,2017-19,Male,21 years,Asian,2.10E-04
Lx,50%,2017-19,Male,15 years,Maori,99003
mx,97.50%,2017-19,Female,66 years,Pacific,0.01619
px,2.50%,2017-19,Female,71 years,Maori,0.96897
lx,97.50%,2017-19,Female,2 years,Maori,99580
qx,97.50%,2017-19,Male,23 years,European or Other,7.60E-04
lx,97.50%,2017-19,Female,88 years,Pacific,29766
px,2.50%,2017-19,Female,37 years,Asian,0.99966
dx,50%,2017-19,Male,100 years and over,nonMaori,1349
Lx,2.50%,2017-19,Male,85 years,Asian,58070
Lx,2.50%,2017-19,Female,43 years,Maori,96218
Lx,97.50%,2017-19,Female,29 years,European or Other,99253
ex,97.50%,2017-19,Female,82 years,Total,8.73
qx,50%,2017-19,Male,64 years,Pacific,0.01636
lx,97.50%,2017-19,Male,91 years,Total,19859
ex,2.50%,2017-19,Male,32 years,nonMaori,49.86
dx,50%,2017-19,Male,39 years,nonMaori,99
qx,2.50%,2017-19,Female,89 years,Asian,0.07735
qx,97.50%,2017-19,Male,24 years,Total,8.90E-04
mx,50%,2017-19,Female,44 years,nonMaori,8.90E-04
qx,50%,2017-19,Male,52 years,Pacific,0.0053
qx,50%,2017-19,Male,55 years,Total,0.00446
lx,50%,2017-19,Male,42 years,Pacific,95858
lx,97.50%,2017-19,Female,96 years,Asian,22847
qx,2.50%,2017-19,Female,71 years,Total,0.01139
lx,2.50%,2017-19,Female,85 years,nonMaori,58751
qx,50%,2017-19,Male,91 years,Total,0.18134
dx,97.50%,2017-19,Female,49 years,European or Other,147
ex,2.50%,2017-19,Male,89 years,Total,4.36
qx,2.50%,2017-19,Male,67 years,Maori,0.02296
px,97.50%,2017-19,Female,88 years,nonMaori,0.8995
Lx,50%,2017-19,Male,39 years,Pacific,96407
mx,97.50%,2017-19,Male,60 years,Pacific,0.01384
px,2.50%,2017-19,Male,88 years,Asian,0.89187
qx,97.50%,2017-19,Male,88 years,Pacific,0.17858
dx,2.50%,2017-19,Male,74 years,Maori,2375
qx,2.50%,2017-19,Male,98 years,Total,0.28996
lx,50%,2017-19,Female,88 years,Pacific,27681
ex,50%,2017-19,Female,59 years,European or Other,27.34
dx,2.50%,2017-19,Male,67 years,Total,1002
Lx,97.50%,2017-19,Female,60 years,Total,94228
mx,97.50%,2017-19,Female,59 years,Maori,0.01106
lx,2.50%,2017-19,Male,10 years,nonMaori,99363
mx,50%,2017-19,Female,84 years,Asian,0.04408
mx,50%,2017-19,Female,61 years,Asian,0.00205
ex,50%,2017-19,Female,4 years,Pacific,75.55
ex,2.50%,2017-19,Female,89 years,Maori,4.62
px,2.50%,2017-19,Male,13 years,Pacific,0.99962
ex,2.50%,2017-19,Female,51 years,Total,34.03
qx,97.50%,2017-19,Male,54 years,European or Other,0.00373
qx,97.50%,2017-19,Male,37 years,Total,0.00119
mx,50%,2017-19,Male,34 years,European or Other,9.00E-04
mx,50%,2017-19,Female,105 years and over,Total,0.5721
Lx,50%,2017-19,Male,84 years,Total,46194
dx,50%,2017-19,Male,3 years,nonMaori,18
lx,97.50%,2017-19,Male,75 years,Asian,85329
Lx,97.50%,2017-19,Female,40 years,Total,98379
qx,2.50%,2017-19,Female,63 years,Asian,0.00197
lx,50%,2017-19,Male,47 years,Asian,98195
Lx,50%,2017-19,Male,2 years,Maori,99344
px,50%,2017-19,Female,72 years,Maori,0.96784
px,2.50%,2017-19,Male,20 years,Pacific,0.99913
ex,2.50%,2017-19,Female,30 years,Maori,47.9
lx,50%,2017-19,Male,86 years,Pacific,24562
ex,97.50%,2017-19,Male,89 years,European or Other,4.47
qx,50%,2017-19,Male,53 years,European or Other,0.00316
ex,50%,2017-19,Male,20 years,European or Other,61.51
px,50%,2017-19,Female,21 years,nonMaori,0.99969
mx,97.50%,2017-19,Female,18 years,Total,3.70E-04
mx,2.50%,2017-19,Male,82 years,European or Other,0.06345
lx,50%,2017-19,Male,93 years,Maori,5975
mx,2.50%,2017-19,Female,100 years and over,Pacific,0.22602
dx,2.50%,2017-19,Male,84 years,Total,3785
mx,50%,2017-19,Male,91 years,Asian,0.14007
ex,97.50%,2017-19,Female,7 years,nonMaori,77.85
px,2.50%,2017-19,Female,104 years,Total,0.53525
dx,50%,2017-19,Male,21 years,Maori,121
dx,50%,2017-19,Male,90 years,European or Other,4034
lx,97.50%,2017-19,Male,37 years,European or Other,98135
qx,50%,2017-19,Female,73 years,Pacific,0.02691
mx,2.50%,2017-19,Male,1 years,Pacific,1.10E-04
qx,2.50%,2017-19,Male,47 years,European or Other,0.00158
px,50%,2017-19,Male,80 years,European or Other,0.95088
lx,2.50%,2017-19,Male,15 years,Asian,99317
ex,50%,2017-19,Female,58 years,Maori,22.78
dx,2.50%,2017-19,Male,95 years,European or Other,1953
dx,50%,2017-19,Male,15 years,Asian,19
dx,2.50%,2017-19,Female,42 years,Asian,31
lx,2.50%,2017-19,Male,9 years,nonMaori,99373
lx,97.50%,2017-19,Female,35 years,European or Other,99041
Lx,97.50%,2017-19,Male,45 years,European or Other,97188
px,97.50%,2017-19,Male,61 years,Maori,0.98579
qx,97.50%,2017-19,Male,11 years,Total,1.60E-04
dx,50%,2017-19,Male,80 years,nonMaori,3134
lx,50%,2017-19,Male,51 years,European or Other,96053
px,50%,2017-19,Male,6 years,Maori,0.99982
qx,2.50%,2017-19,Female,78 years,Maori,0.04808
ex,2.50%,2017-19,Male,44 years,European or Other,38.41
lx,50%,2017-19,Female,32 years,Asian,99298
mx,97.50%,2017-19,Female,31 years,Total,5.00E-04
px,97.50%,2017-19,Female,55 years,Asian,0.99893
mx,97.50%,2017-19,Female,100 years and over,Asian,0.44922
qx,97.50%,2017-19,Female,28 years,Maori,0.00106
qx,50%,2017-19,Female,7 years,European or Other,6.00E-05
dx,97.50%,2017-19,Female,45 years,nonMaori,108
qx,2.50%,2017-19,Male,15 years,Pacific,2.60E-04
mx,50%,2017-19,Female,58 years,Asian,0.0016
dx,97.50%,2017-19,Male,15 years,Total,39
mx,97.50%,2017-19,Male,96 years,Asian,0.30932
px,97.50%,2017-19,Female,74 years,Total,0.9829
mx,97.50%,2017-19,Female,67 years,Pacific,0.01676
ex,2.50%,2017-19,Female,11 years,Pacific,68.16
px,2.50%,2017-19,Male,69 years,Pacific,0.97075
dx,2.50%,2017-19,Male,85 years,Pacific,2702
ex,50%,2017-19,Female,80 years,Pacific,8.49
lx,2.50%,2017-19,Male,86 years,Asian,56100
ex,50%,2017-19,Female,9 years,nonMaori,75.77
ex,50%,2017-19,Female,94 years,Pacific,3.52
mx,97.50%,2017-19,Male,38 years,Total,0.00127
ex,50%,2017-19,Male,92 years,nonMaori,3.54
ex,50%,2017-19,Male,37 years,Total,44.42
Lx,97.50%,2017-19,Female,21 years,Asian,99568
px,50%,2017-19,Female,6 years,European or Other,0.99994
ex,97.50%,2017-19,Female,82 years,Maori,7.9
qx,2.50%,2017-19,Female,15 years,European or Other,1.20E-04
px,97.50%,2017-19,Female,2 years,Asian,0.99993
ex,97.50%,2017-19,Male,53 years,nonMaori,30.16
dx,50%,2017-19,Female,102 years,Total,492
px,50%,2017-19,Female,18 years,European or Other,0.99975
qx,97.50%,2017-19,Female,54 years,Maori,0.00687
lx,2.50%,2017-19,Female,81 years,European or Other,72135
ex,50%,2017-19,Female,33 years,European or Other,52.16
Lx,2.50%,2017-19,Male,96 years,Total,4739
px,97.50%,2017-19,Male,89 years,European or Other,0.85768
mx,2.50%,2017-19,Female,26 years,Asian,1.20E-04
qx,97.50%,2017-19,Male,68 years,nonMaori,0.01249
lx,97.50%,2017-19,Female,92 years,Total,25930
px,50%,2017-19,Female,92 years,Total,0.83317
ex,97.50%,2017-19,Male,25 years,European or Other,56.8
qx,50%,2017-19,Female,91 years,European or Other,0.14843
lx,2.50%,2017-19,Female,48 years,nonMaori,97834
ex,2.50%,2017-19,Male,64 years,Maori,16.17
lx,97.50%,2017-19,Female,14 years,Maori,99394
px,2.50%,2017-19,Female,75 years,Maori,0.95331
Lx,50%,2017-19,Male,14 years,Asian,99437
mx,97.50%,2017-19,Male,50 years,Total,0.0031
px,97.50%,2017-19,Female,98 years,Maori,0.78844
Lx,97.50%,2017-19,Female,34 years,Total,98743
qx,97.50%,2017-19,Male,20 years,European or Other,6.90E-04
mx,2.50%,2017-19,Male,68 years,European or Other,0.0111
px,50%,2017-19,Female,5 years,nonMaori,0.99991
lx,2.50%,2017-19,Male,6 years,Pacific,99083
px,50%,2017-19,Male,91 years,Maori,0.80361
lx,2.50%,2017-19,Male,24 years,Maori,97993
px,50%,2017-19,Male,67 years,Maori,0.97466
mx,2.50%,2017-19,Female,69 years,Total,0.00961
qx,50%,2017-19,Female,84 years,Pacific,0.08943
ex,2.50%,2017-19,Male,81 years,European or Other,7.95
px,2.50%,2017-19,Female,19 years,Total,0.9996
px,50%,2017-19,Female,77 years,European or Other,0.97828
Lx,97.50%,2017-19,Male,48 years,Maori,92776
qx,2.50%,2017-19,Female,79 years,Maori,0.05084
lx,50%,2017-19,Female,19 years,Total,99296
dx,2.50%,2017-19,Female,57 years,Pacific,455
ex,50%,2017-19,Female,73 years,European or Other,15.23
dx,50%,2017-19,Male,39 years,Asian,46
ex,2.50%,2017-19,Female,44 years,Maori,34.68
px,2.50%,2017-19,Male,58 years,Total,0.99384
Lx,97.50%,2017-19,Male,86 years,European or Other,40359
dx,2.50%,2017-19,Male,57 years,Asian,245
qx,97.50%,2017-19,Female,62 years,Maori,0.01415
ex,2.50%,2017-19,Male,41 years,Total,40.54
Lx,50%,2017-19,Male,20 years,Pacific,98760
qx,50%,2017-19,Female,44 years,Maori,0.00227
Lx,2.50%,2017-19,Female,42 years,Asian,98883
ex,50%,2017-19,Male,70 years,Maori,12.58
qx,97.50%,2017-19,Female,33 years,Pacific,0.0011
Lx,97.50%,2017-19,Female,77 years,Maori,57771
qx,97.50%,2017-19,Male,12 years,Total,2.00E-04
ex,50%,2017-19,Female,87 years,European or Other,5.97
ex,2.50%,2017-19,Male,22 years,Maori,52.16
lx,2.50%,2017-19,Female,87 years,Total,47969
px,97.50%,2017-19,Female,27 years,nonMaori,0.99975
dx,50%,2017-19,Male,96 years,Pacific,830
ex,2.50%,2017-19,Male,99 years,European or Other,2.03
Lx,50%,2017-19,Female,38 years,Total,98440
px,50%,2017-19,Male,21 years,Asian,0.99972
dx,50%,2017-19,Female,98 years,European or Other,1849
ex,50%,2017-19,Female,26 years,Maori,52.02
Lx,50%,2017-19,Female,0 years,Pacific,99465
ex,97.50%,2017-19,Female,13 years,nonMaori,71.88
mx,50%,2017-19,Female,21 years,Asian,1.50E-04
dx,2.50%,2017-19,Female,12 years,European or Other,6
mx,2.50%,2017-19,Male,27 years,nonMaori,5.30E-04
qx,2.50%,2017-19,Female,23 years,nonMaori,2.70E-04
ex,50%,2017-19,Female,30 years,Asian,58.44
Lx,2.50%,2017-19,Female,10 years,Maori,99276
px,2.50%,2017-19,Female,29 years,Total,0.99956
qx,2.50%,2017-19,Female,51 years,European or Other,0.00155
Lx,2.50%,2017-19,Male,57 years,Asian,96068
lx,50%,2017-19,Female,73 years,nonMaori,86904
mx,2.50%,2017-19,Female,43 years,Asian,3.30E-04
ex,2.50%,2017-19,Male,13 years,Total,67.39
ex,97.50%,2017-19,Female,87 years,nonMaori,6.01
lx,2.50%,2017-19,Male,79 years,European or Other,67510
Lx,2.50%,2017-19,Female,0 years,Maori,99487
lx,2.50%,2017-19,Male,85 years,nonMaori,46022
mx,97.50%,2017-19,Male,53 years,Pacific,0.00723
lx,97.50%,2017-19,Male,38 years,nonMaori,98037
lx,97.50%,2017-19,Female,73 years,Maori,69529
lx,97.50%,2017-19,Female,54 years,Maori,93161
lx,2.50%,2017-19,Female,58 years,European or Other,95955
dx,2.50%,2017-19,Female,44 years,European or Other,75
Lx,97.50%,2017-19,Female,52 years,Maori,93908
Lx,2.50%,2017-19,Male,5 years,Maori,99174
ex,2.50%,2017-19,Female,74 years,European or Other,14.38
Lx,2.50%,2017-19,Male,44 years,Pacific,94812
Lx,50%,2017-19,Female,67 years,Pacific,83583
Lx,2.50%,2017-19,Male,19 years,Pacific,98648
dx,50%,2017-19,Male,97 years,Total,1214
mx,50%,2017-19,Female,88 years,European or Other,0.10915
Lx,2.50%,2017-19,Female,49 years,Asian,98453
mx,50%,2017-19,Female,62 years,nonMaori,0.00439
Lx,50%,2017-19,Female,20 years,Asian,99488
mx,50%,2017-19,Male,76 years,Pacific,0.05502
dx,50%,2017-19,Male,61 years,Pacific,1021
ex,50%,2017-19,Male,9 years,European or Other,72.33
ex,2.50%,2017-19,Female,49 years,Pacific,31.71
ex,50%,2017-19,Female,30 years,Pacific,49.99
ex,2.50%,2017-19,Female,87 years,Pacific,5.13
px,2.50%,2017-19,Male,38 years,European or Other,0.99886
Lx,97.50%,2017-19,Female,43 years,nonMaori,98459
px,2.50%,2017-19,Male,82 years,Total,0.93252
lx,50%,2017-19,Male,27 years,Pacific,98223
qx,97.50%,2017-19,Female,22 years,Maori,8.90E-04
ex,2.50%,2017-19,Female,93 years,Asian,4.07
mx,2.50%,2017-19,Male,89 years,European or Other,0.15322
lx,97.50%,2017-19,Female,39 years,Maori,97437
lx,2.50%,2017-19,Female,26 years,nonMaori,99115
lx,97.50%,2017-19,Male,45 years,Total,96679
px,50%,2017-19,Male,5 years,nonMaori,0.99988
dx,50%,2017-19,Female,28 years,European or Other,33
dx,97.50%,2017-19,Female,50 years,European or Other,163
mx,97.50%,2017-19,Male,99 years,Asian,0.46004
px,97.50%,2017-19,Female,79 years,Asian,0.98281
mx,97.50%,2017-19,Female,58 years,European or Other,0.00341
mx,97.50%,2017-19,Female,11 years,Total,1.20E-04
qx,2.50%,2017-19,Male,54 years,Asian,0.00177
mx,97.50%,2017-19,Female,22 years,Asian,2.10E-04
ex,2.50%,2017-19,Male,13 years,nonMaori,68.29
lx,50%,2017-19,Male,24 years,Pacific,98495
qx,50%,2017-19,Male,51 years,Maori,0.00677
Lx,50%,2017-19,Female,5 years,Maori,99443
ex,50%,2017-19,Male,74 years,Pacific,10.41
Lx,2.50%,2017-19,Female,91 years,European or Other,29052
qx,2.50%,2017-19,Male,31 years,European or Other,6.70E-04
mx,50%,2017-19,Male,103 years,Total,0.53464
lx,50%,2017-19,Female,8 years,Total,99481
mx,50%,2017-19,Male,69 years,Maori,0.02914
Lx,97.50%,2017-19,Male,31 years,European or Other,98594
mx,2.50%,2017-19,Male,11 years,Asian,1.00E-04
lx,2.50%,2017-19,Male,97 years,Asian,9193
Lx,50%,2017-19,Male,92 years,Total,14370
ex,50%,2017-19,Female,59 years,nonMaori,27.31
mx,97.50%,2017-19,Female,91 years,Asian,0.14673
dx,97.50%,2017-19,Male,74 years,European or Other,1931
px,97.50%,2017-19,Female,52 years,European or Other,0.99823
mx,97.50%,2017-19,Female,52 years,Maori,0.00587
lx,97.50%,2017-19,Female,19 years,Total,99348
qx,97.50%,2017-19,Female,68 years,Asian,0.0053
dx,50%,2017-19,Male,8 years,Total,10
Lx,2.50%,2017-19,Female,87 years,Maori,24312
dx,2.50%,2017-19,Male,31 years,Asian,24
dx,50%,2017-19,Male,79 years,Maori,3108
dx,2.50%,2017-19,Male,64 years,nonMaori,725
lx,2.50%,2017-19,Female,62 years,nonMaori,94454
dx,97.50%,2017-19,Female,16 years,Pacific,32
ex,50%,2017-19,Male,47 years,European or Other,35.67
lx,50%,2017-19,Male,46 years,Asian,98279
mx,50%,2017-19,Male,90 years,Maori,0.19921
mx,97.50%,2017-19,Male,52 years,nonMaori,0.00321
lx,2.50%,2017-19,Female,5 years,nonMaori,99496
lx,2.50%,2017-19,Female,80 years,Total,71825
mx,97.50%,2017-19,Male,33 years,nonMaori,8.30E-04
qx,97.50%,2017-19,Male,39 years,nonMaori,0.00112
Lx,50%,2017-19,Male,2 years,European or Other,99626
lx,97.50%,2017-19,Female,66 years,nonMaori,92822
px,50%,2017-19,Female,56 years,Total,0.9968
Lx,50%,2017-19,Male,69 years,Total,82980
px,50%,2017-19,Male,56 years,nonMaori,0.99598
Lx,2.50%,2017-19,Male,34 years,nonMaori,98140
mx,2.50%,2017-19,Female,30 years,European or Other,3.10E-04
ex,97.50%,2017-19,Female,39 years,Maori,39.94
px,2.50%,2017-19,Female,24 years,Pacific,0.99942
px,97.50%,2017-19,Female,2 years,nonMaori,0.99985
mx,2.50%,2017-19,Female,26 years,European or Other,2.80E-04
ex,50%,2017-19,Female,51 years,Asian,37.82
mx,50%,2017-19,Female,80 years,Asian,0.02141
Lx,2.50%,2017-19,Female,9 years,Total,99423
px,97.50%,2017-19,Male,25 years,Total,0.99928
dx,97.50%,2017-19,Female,42 years,Pacific,206
dx,50%,2017-19,Male,45 years,Maori,365
ex,97.50%,2017-19,Female,91 years,European or Other,4.41
ex,97.50%,2017-19,Female,71 years,Total,16.65
ex,97.50%,2017-19,Female,31 years,European or Other,54.21
mx,2.50%,2017-19,Male,79 years,Asian,0.02271
ex,2.50%,2017-19,Male,32 years,Maori,42.92
lx,50%,2017-19,Female,10 years,Total,99465
mx,97.50%,2017-19,Male,62 years,European or Other,0.00744
dx,2.50%,2017-19,Female,37 years,Maori,105
Lx,2.50%,2017-19,Female,55 years,Pacific,92749
lx,97.50%,2017-19,Female,93 years,Total,21648
dx,50%,2017-19,Male,18 years,Pacific,52
qx,50%,2017-19,Male,17 years,Asian,2.20E-04
lx,2.50%,2017-19,Male,61 years,European or Other,92070
px,50%,2017-19,Male,31 years,nonMaori,0.99935
lx,50%,2017-19,Male,80 years,nonMaori,64648
lx,97.50%,2017-19,Female,84 years,Maori,37869
mx,50%,2017-19,Male,85 years,European or Other,0.09839
Lx,2.50%,2017-19,Female,24 years,Total,99029
ex,50%,2017-19,Male,67 years,European or Other,17.99
lx,50%,2017-19,Female,27 years,Total,98994
dx,50%,2017-19,Male,93 years,Pacific,1547
Lx,2.50%,2017-19,Female,54 years,Total,95993
qx,50%,2017-19,Female,2 years,Maori,2.10E-04
qx,50%,2017-19,Male,10 years,Pacific,2.20E-04
Lx,97.50%,2017-19,Female,75 years,European or Other,83918
qx,97.50%,2017-19,Male,49 years,Maori,0.00612
px,97.50%,2017-19,Female,104 years,Total,0.62889
lx,2.50%,2017-19,Female,66 years,Asian,95616
dx,50%,2017-19,Female,19 years,Total,35
mx,2.50%,2017-19,Female,48 years,Total,0.00152
dx,50%,2017-19,Female,72 years,Asian,749
mx,97.50%,2017-19,Male,63 years,European or Other,0.00809
dx,97.50%,2017-19,Male,96 years,nonMaori,1752
mx,50%,2017-19,Female,95 years,Maori,0.24185
lx,2.50%,2017-19,Female,84 years,Pacific,40564
ex,97.50%,2017-19,Female,23 years,European or Other,62.06
qx,50%,2017-19,Male,93 years,Total,0.21637
mx,50%,2017-19,Male,63 years,Asian,0.00517
qx,97.50%,2017-19,Male,51 years,Asian,0.0019
Lx,97.50%,2017-19,Female,45 years,Total,97913
Lx,2.50%,2017-19,Male,99 years,Pacific,376
ex,2.50%,2017-19,Female,27 years,Pacific,52.46
dx,2.50%,2017-19,Female,71 years,Pacific,1558
qx,50%,2017-19,Male,90 years,Asian,0.11743
ex,50%,2017-19,Female,0 years,Total,83.49
ex,2.50%,2017-19,Female,41 years,Asian,47.18
ex,50%,2017-19,Female,45 years,Maori,34.05
dx,2.50%,2017-19,Female,57 years,European or Other,253
lx,50%,2017-19,Female,2 years,Pacific,99407
dx,50%,2017-19,Male,93 years,Asian,4216
dx,97.50%,2017-19,Male,55 years,Maori,909
mx,97.50%,2017-19,Male,100 years and over,Maori,0.67477
lx,97.50%,2017-19,Male,54 years,Pacific,91924
dx,97.50%,2017-19,Male,17 years,European or Other,46
ex,50%,2017-19,Female,41 years,Pacific,39.5
qx,50%,2017-19,Male,51 years,Total,0.0032
qx,2.50%,2017-19,Male,80 years,Pacific,0.0634
qx,50%,2017-19,Male,6 years,Total,1.10E-04
Lx,97.50%,2017-19,Male,13 years,Pacific,99220
mx,2.50%,2017-19,Female,41 years,European or Other,5.90E-04
Lx,2.50%,2017-19,Male,22 years,Total,98774
Lx,50%,2017-19,Female,77 years,Maori,56707
mx,50%,2017-19,Female,12 years,Maori,2.20E-04
px,97.50%,2017-19,Female,93 years,Maori,0.83877
mx,2.50%,2017-19,Female,47 years,European or Other,0.00102
mx,2.50%,2017-19,Male,38 years,Pacific,0.00165
px,50%,2017-19,Male,6 years,Asian,0.99986
Lx,50%,2017-19,Female,17 years,Total,99343
Lx,2.50%,2017-19,Male,48 years,Asian,97844
dx,97.50%,2017-19,Female,15 years,Total,25
dx,2.50%,2017-19,Female,72 years,Total,1187
Lx,50%,2017-19,Female,51 years,Total,96847
dx,2.50%,2017-19,Male,68 years,Total,1052
qx,50%,2017-19,Male,42 years,Total,0.00147
Lx,50%,2017-19,Female,28 years,Maori,98377
Lx,50%,2017-19,Female,69 years,Total,88408
lx,50%,2017-19,Male,88 years,nonMaori,33272
px,2.50%,2017-19,Female,44 years,Pacific,0.99757
px,2.50%,2017-19,Female,91 years,European or Other,0.84584
px,2.50%,2017-19,Male,61 years,Pacific,0.98619
lx,2.50%,2017-19,Female,67 years,nonMaori,91863
lx,97.50%,2017-19,Male,28 years,Pacific,98330
ex,97.50%,2017-19,Male,25 years,Maori,49.96
lx,2.50%,2017-19,Female,36 years,nonMaori,98763
mx,50%,2017-19,Male,1 years,Total,3.50E-04
Lx,97.50%,2017-19,Female,20 years,Maori,99104
mx,97.50%,2017-19,Male,67 years,Total,0.01294
mx,97.50%,2017-19,Female,91 years,Total,0.16836
mx,97.50%,2017-19,Male,38 years,nonMaori,0.00104
lx,97.50%,2017-19,Female,62 years,European or Other,94889
mx,97.50%,2017-19,Male,37 years,Maori,0.00268
dx,50%,2017-19,Female,19 years,European or Other,28
ex,50%,2017-19,Male,34 years,Pacific,42.92
qx,50%,2017-19,Female,26 years,nonMaori,3.00E-04
lx,2.50%,2017-19,Male,60 years,Asian,95195
px,2.50%,2017-19,Female,78 years,Total,0.97116
px,97.50%,2017-19,Female,16 years,European or Other,0.99986
ex,50%,2017-19,Female,25 years,Maori,52.98
ex,50%,2017-19,Female,95 years,Asian,3.96
qx,50%,2017-19,Female,75 years,Maori,0.04226
px,50%,2017-19,Female,92 years,Pacific,0.82396
lx,2.50%,2017-19,Female,54 years,Maori,92409
mx,2.50%,2017-19,Male,6 years,Maori,1.30E-04
